date,store_id,item_id,sales,promotion,holiday,lag_1,lag_7,rolling_mean_7,day_of_week,month
2023-01-01,3,C,95,0,1,70.0,70.0,94.0,6,1
2023-01-01,1,C,165,1,1,95.0,85.0,105.42857142857143,6,1
2023-01-01,3,D,91,0,1,165.0,120.0,101.28571428571429,6,1
2023-01-01,1,B,120,0,1,91.0,87.0,106.0,6,1
2023-01-01,2,D,50,0,1,120.0,115.0,96.71428571428571,6,1
2023-01-02,1,D,23,0,0,50.0,86.0,87.71428571428571,0,1
2023-01-02,2,D,21,0,0,23.0,70.0,80.71428571428571,0,1
2023-01-02,3,B,31,0,0,21.0,95.0,71.57142857142857,0,1
2023-01-02,1,C,49,0,0,31.0,165.0,55.0,0,1
2023-01-02,3,A,45,1,0,49.0,91.0,48.42857142857143,0,1
2023-01-02,2,A,45,0,0,45.0,120.0,37.714285714285715,0,1
2023-01-02,1,B,32,0,0,45.0,50.0,35.142857142857146,0,1
2023-01-02,1,A,22,0,0,32.0,23.0,35.0,0,1
2023-01-02,3,C,53,1,0,22.0,21.0,39.57142857142857,0,1
2023-01-02,2,B,43,1,0,53.0,31.0,41.285714285714285,0,1
2023-01-02,2,C,47,0,0,43.0,49.0,41.0,0,1
2023-01-02,3,D,46,0,0,47.0,45.0,41.142857142857146,0,1
2023-01-03,2,C,29,0,0,46.0,45.0,38.857142857142854,1,1
2023-01-03,2,B,28,0,0,29.0,32.0,38.285714285714285,1,1
2023-01-03,2,D,22,0,0,28.0,22.0,38.285714285714285,1,1
2023-01-03,1,C,29,0,0,22.0,53.0,34.857142857142854,1,1
2023-01-03,2,A,41,0,0,29.0,43.0,34.57142857142857,1,1
2023-01-03,3,A,41,0,0,41.0,47.0,33.714285714285715,1,1
2023-01-03,1,A,25,0,0,41.0,46.0,30.714285714285715,1,1
2023-01-03,1,B,68,1,0,25.0,29.0,36.285714285714285,1,1
2023-01-03,3,B,36,0,0,68.0,28.0,37.42857142857143,1,1
2023-01-03,1,D,30,1,0,36.0,22.0,38.57142857142857,1,1
2023-01-03,3,C,36,0,0,30.0,29.0,39.57142857142857,1,1
2023-01-03,3,D,48,1,0,36.0,41.0,40.57142857142857,1,1
2023-01-04,3,D,61,1,0,48.0,41.0,43.42857142857143,2,1
2023-01-04,2,C,38,0,0,61.0,25.0,45.285714285714285,2,1
2023-01-04,1,A,21,0,0,38.0,68.0,38.57142857142857,2,1
2023-01-04,1,B,55,0,0,21.0,36.0,41.285714285714285,2,1
2023-01-04,2,B,30,0,0,55.0,30.0,41.285714285714285,2,1
2023-01-04,3,C,57,1,0,30.0,36.0,44.285714285714285,2,1
2023-01-04,3,A,25,0,0,57.0,48.0,41.0,2,1
2023-01-04,3,B,35,0,0,25.0,61.0,37.285714285714285,2,1
2023-01-04,2,D,26,0,0,35.0,38.0,35.57142857142857,2,1
2023-01-04,2,A,53,0,0,26.0,21.0,40.142857142857146,2,1
2023-01-04,1,C,42,0,0,53.0,55.0,38.285714285714285,2,1
2023-01-04,1,D,25,0,0,42.0,30.0,37.57142857142857,2,1
2023-01-05,3,C,33,0,0,25.0,57.0,34.142857142857146,3,1
2023-01-05,2,A,49,0,0,33.0,25.0,37.57142857142857,3,1
2023-01-05,2,C,32,0,0,49.0,35.0,37.142857142857146,3,1
2023-01-05,1,A,23,0,0,32.0,26.0,36.714285714285715,3,1
2023-01-05,3,B,38,0,0,23.0,53.0,34.57142857142857,3,1
2023-01-05,2,D,23,0,0,38.0,42.0,31.857142857142858,3,1
2023-01-05,3,A,24,0,0,23.0,25.0,31.714285714285715,3,1
2023-01-05,1,B,51,0,0,24.0,33.0,34.285714285714285,3,1
2023-01-05,2,B,32,0,0,51.0,49.0,31.857142857142858,3,1
2023-01-05,1,D,29,0,0,32.0,32.0,31.428571428571427,3,1
2023-01-05,3,D,49,1,0,29.0,23.0,35.142857142857146,3,1
2023-01-05,1,C,43,0,0,49.0,38.0,35.857142857142854,3,1
2023-01-06,3,A,33,0,0,43.0,23.0,37.285714285714285,4,1
2023-01-06,1,B,44,0,0,33.0,24.0,40.142857142857146,4,1
2023-01-06,3,C,37,0,0,44.0,51.0,38.142857142857146,4,1
2023-01-06,2,D,43,1,0,37.0,32.0,39.714285714285715,4,1
2023-01-06,3,B,33,0,0,43.0,29.0,40.285714285714285,4,1
2023-01-06,1,D,27,0,0,33.0,49.0,37.142857142857146,4,1
2023-01-06,3,D,33,0,0,27.0,43.0,35.714285714285715,4,1
2023-01-06,1,C,52,0,0,33.0,33.0,38.42857142857143,4,1
2023-01-06,1,A,26,0,0,52.0,44.0,35.857142857142854,4,1
2023-01-06,2,A,45,0,0,26.0,37.0,37.0,4,1
2023-01-06,2,C,35,0,0,45.0,43.0,35.857142857142854,4,1
2023-01-06,2,B,35,0,0,35.0,33.0,36.142857142857146,4,1
2023-01-07,1,D,27,0,0,35.0,27.0,36.142857142857146,5,1
2023-01-07,2,A,88,1,0,27.0,33.0,44.0,5,1
2023-01-07,3,B,48,0,0,88.0,52.0,43.42857142857143,5,1
2023-01-07,3,C,41,0,0,48.0,26.0,45.57142857142857,5,1
2023-01-07,1,C,57,0,0,41.0,45.0,47.285714285714285,5,1
2023-01-07,2,C,33,0,0,57.0,35.0,47.0,5,1
2023-01-07,3,D,46,0,0,33.0,35.0,48.57142857142857,5,1
2023-01-07,2,B,51,0,0,46.0,27.0,52.0,5,1
2023-01-07,1,B,54,0,0,51.0,88.0,47.142857142857146,5,1
2023-01-07,1,A,58,1,0,54.0,48.0,48.57142857142857,5,1
