date,store_id,item_id,sales,promotion,holiday
2023-01-01,1,A,70,0,1
2023-01-02,1,A,22,0,0
2023-01-03,1,A,25,0,0
2023-01-04,1,A,21,0,0
2023-01-05,1,A,23,0,0
2023-01-06,1,A,26,0,0
2023-01-07,1,A,58,1,0
2023-01-08,1,A,41,0,0
2023-01-09,1,A,13,0,0
2023-01-10,1,A,29,0,0
2023-01-11,1,A,37,1,0
2023-01-12,1,A,25,0,0
2023-01-13,1,A,26,0,0
2023-01-14,1,A,52,1,0
2023-01-15,1,A,32,0,0
2023-01-16,1,A,39,1,0
2023-01-17,1,A,25,0,0
2023-01-18,1,A,26,0,0
2023-01-19,1,A,31,0,0
2023-01-20,1,A,47,1,0
2023-01-21,1,A,28,0,0
2023-01-22,1,A,32,0,0
2023-01-23,1,A,27,0,0
2023-01-24,1,A,19,0,0
2023-01-25,1,A,28,1,0
2023-01-26,1,A,34,1,0
2023-01-27,1,A,30,0,0
2023-01-28,1,A,25,0,0
2023-01-29,1,A,53,1,0
2023-01-30,1,A,29,0,0
2023-01-31,1,A,26,0,0
2023-02-01,1,A,28,0,0
2023-02-02,1,A,17,0,0
2023-02-03,1,A,19,0,0
2023-02-04,1,A,37,0,0
2023-02-05,1,A,29,0,0
2023-02-06,1,A,27,0,0
2023-02-07,1,A,42,1,0
2023-02-08,1,A,35,1,0
2023-02-09,1,A,26,0,0
2023-02-10,1,A,31,0,0
2023-02-11,1,A,43,0,0
2023-02-12,1,A,36,0,0
2023-02-13,1,A,39,1,0
2023-02-14,1,A,22,0,0
2023-02-15,1,A,22,0,0
2023-02-16,1,A,25,0,0
2023-02-17,1,A,21,0,0
2023-02-18,1,A,65,1,0
2023-02-19,1,A,29,0,0
2023-02-20,1,A,31,0,0
2023-02-21,1,A,38,0,0
2023-02-22,1,A,48,1,0
2023-02-23,1,A,44,1,0
2023-02-24,1,A,23,0,0
2023-02-25,1,A,33,0,0
2023-02-26,1,A,39,0,0
2023-02-27,1,A,25,0,0
2023-02-28,1,A,30,0,0
2023-03-01,1,A,25,0,0
2023-03-02,1,A,22,0,0
2023-03-03,1,A,24,0,0
2023-03-04,1,A,29,0,0
2023-03-05,1,A,39,0,0
2023-03-06,1,A,28,0,0
2023-03-07,1,A,19,0,0
2023-03-08,1,A,22,0,0
2023-03-09,1,A,22,0,0
2023-03-10,1,A,24,0,0
2023-03-11,1,A,34,0,0
2023-03-12,1,A,36,0,0
2023-03-13,1,A,36,0,0
2023-03-14,1,A,23,0,0
2023-03-15,1,A,27,0,0
2023-03-16,1,A,26,0,0
2023-03-17,1,A,47,1,0
2023-03-18,1,A,37,0,0
2023-03-19,1,A,37,0,0
2023-03-20,1,A,31,0,0
2023-03-21,1,A,29,0,0
2023-03-22,1,A,31,0,0
2023-03-23,1,A,30,0,0
2023-03-24,1,A,26,0,0
2023-03-25,1,A,38,0,0
2023-03-26,1,A,58,1,0
2023-03-27,1,A,31,0,0
2023-03-28,1,A,22,0,0
2023-03-29,1,A,30,0,0
2023-03-30,1,A,32,1,0
2023-03-31,1,A,41,1,0
2023-04-01,1,A,58,1,0
2023-04-02,1,A,36,0,0
2023-04-03,1,A,31,0,0
2023-04-04,1,A,43,1,0
2023-04-05,1,A,31,0,0
2023-04-06,1,A,36,0,0
2023-04-07,1,A,40,1,0
2023-04-08,1,A,25,0,0
2023-04-09,1,A,46,1,0
2023-04-10,1,A,27,0,0
2023-04-11,1,A,22,0,0
2023-04-12,1,A,32,0,0
2023-04-13,1,A,20,0,0
2023-04-14,1,A,31,0,0
2023-04-15,1,A,58,1,0
2023-04-16,1,A,35,0,0
2023-04-17,1,A,34,0,0
2023-04-18,1,A,47,1,0
2023-04-19,1,A,41,0,0
2023-04-20,1,A,27,0,0
2023-04-21,1,A,27,0,0
