Actual,Predicted
39,42.24
79,49.16
36,47.6
22,46.66
32,48.19
26,37.92
31,48.69
39,44.82
71,37.94
33,36.82
46,45.38
49,51.72
52,47.28
54,51.42
52,51.73
57,51.17
77,56.4
53,54.62
70,54.34
40,60.64
36,80.82
79,76.0
39,53.65
35,49.51
53,53.27
49,50.37
68,43.77
74,65.71
39,58.87
45,44.04
70,65.87
74,51.25
89,74.33
50,54.25
34,64.41
26,61.42
22,55.73
40,50.38
40,41.6
33,38.69
40,43.05
52,29.64
38,37.4
62,47.22
58,38.79
80,40.22
39,39.75
31,44.68
36,52.96
44,48.03
36,50.2
34,47.3
47,36.43
62,39.27
32,36.12
51,49.94
52,48.77
23,39.17
24,42.08
46,43.72
40,40.91
46,37.24
35,39.36
50,34.17
42,39.19
49,47.26
33,43.47
43,40.58
55,43.48
19,35.89
62,50.74
52,46.59
34,44.13
35,43.33
46,51.1
37,40.85
22,39.17
37,40.4
46,36.94
45,33.92
17,28.42
52,39.1
46,34.58
26,36.19
51,41.04
60,42.04
39,43.79
53,45.26
39,50.82
28,43.94
59,46.9
32,44.57
31,42.6
30,39.42
44,36.52
27,31.79
45,54.86
56,55.81
58,45.07
107,47.31
44,47.59
92,64.49
41,61.2
38,70.29
77,78.32
68,67.48
50,45.2
72,55.15
32,50.03
48,58.98
49,59.61
54,51.05
58,56.91
71,49.63
49,52.92
64,56.06
73,48.45
51,52.0
36,57.5
55,72.61
47,51.23
21,42.25
35,45.54
35,42.8
47,44.7
28,34.18
41,38.89
21,30.84
43,41.41
46,33.49
43,33.15
76,42.73
46,35.55
52,44.29
45,55.45
44,46.88
58,49.92
39,43.62
43,47.43
53,55.39
36,51.59
58,50.94
30,42.39
26,45.87
57,51.29
43,44.42
40,42.7
55,47.91
35,36.69
52,48.16
26,50.15
33,49.62
33,39.21
32,43.55
51,37.29
35,32.83
52,33.45
48,37.79
26,35.33
43,44.46
37,47.29
43,40.78
24,39.62
36,37.67
56,35.67
37,38.59
30,29.27
73,51.4
54,42.89
29,51.36
32,41.15
25,41.29
39,41.74
35,41.44
75,42.62
25,33.85
47,49.5
34,37.62
37,48.07
67,79.24
72,41.33
55,45.55
50,57.41
74,58.35
40,64.55
42,77.5
72,70.1
33,52.68
76,72.66
57,54.05
39,46.83
52,46.56
58,46.52
48,50.68
43,50.79
49,47.41
63,53.14
36,46.68
75,57.3
30,45.28
49,51.91
62,48.81
62,55.16
34,43.15
21,38.74
30,53.87
48,41.54
47,38.16
43,45.87
38,37.32
41,41.73
23,35.43
74,40.16
44,35.37
38,42.27
29,40.26
40,44.63
35,38.42
40,45.99
29,38.29
29,39.56
50,42.39
52,37.93
41,38.15
53,40.27
38,37.28
55,46.03
40,46.79
33,40.79
44,46.53
54,38.13
29,43.79
62,45.53
42,41.25
74,51.27
28,36.56
46,57.61
43,46.95
31,45.77
29,50.0
44,49.17
43,38.27
42,44.01
40,39.58
75,50.75
19,42.93
57,46.8
43,48.88
43,44.86
47,48.23
50,52.19
34,43.98
54,47.69
50,45.43
40,44.0
45,42.4
38,39.58
58,38.91
34,40.79
27,45.89
37,43.79
46,33.74
33,38.76
55,57.17
78,44.41
50,42.27
113,54.88
41,59.89
47,66.8
52,64.66
34,54.41
51,65.74
68,57.45
35,43.64
107,56.73
54,48.1
44,49.1
42,69.53
71,70.0
30,52.06
64,66.89
71,46.96
52,53.01
49,49.93
54,51.2
55,55.31
95,64.83
38,49.51
30,62.9
34,48.18
49,42.6
55,54.29
34,49.06
60,39.82
53,39.49
37,44.84
21,38.48
48,47.13
59,48.34
47,38.64
35,40.91
54,41.66
46,40.84
48,46.82
38,49.82
33,49.56
80,54.22
29,35.04
37,41.14
37,40.82
38,39.38
17,33.65
59,53.11
47,34.16
33,35.28
41,38.82
24,31.06
83,51.78
36,42.88
35,46.97
31,36.87
39,43.96
32,35.58
33,43.21
51,40.98
32,27.62
30,40.52
43,39.96
39,31.92
54,35.43
77,48.6
45,44.58
35,45.58
30,52.18
24,61.8
57,52.39
45,50.24
46,41.65
50,39.46
74,45.47
66,39.62
38,69.46
32,53.39
50,54.22
60,52.28
28,47.47
43,48.65
42,49.82
45,51.28
48,55.75
39,41.65
64,61.01
59,46.9
50,54.04
64,52.07
80,54.16
53,46.52
41,57.09
69,66.41
57,52.97
66,54.44
75,53.59
53,49.77
63,57.93
44,59.06
54,68.74
52,52.83
69,58.05
38,50.67
46,53.99
71,52.22
52,48.41
34,53.99
77,71.56
44,40.9
32,40.81
35,39.87
33,46.58
47,42.02
43,36.99
20,30.49
42,42.0
23,32.44
54,39.55
64,36.8
35,40.08
42,33.41
42,44.41
60,43.61
32,45.78
48,49.11
39,44.09
40,45.15
55,39.98
30,40.88
50,46.64
42,38.76
40,42.75
48,48.06
49,43.75
60,48.34
34,39.71
26,41.72
43,50.13
34,43.09
56,42.14
28,41.39
41,37.78
36,34.0
37,40.72
30,31.09
36,41.11
37,31.14
64,37.0
19,34.85
56,50.45
43,39.18
18,39.57
33,44.28
21,38.48
44,37.18
57,37.52
39,34.85
66,37.95
49,46.31
45,43.85
64,55.58
38,49.17
26,42.38
43,50.41
30,47.73
47,56.52
38,48.26
43,52.8
43,54.61
57,49.22
35,45.56
50,76.63
72,47.28
46,44.12
65,49.33
49,56.25
71,58.45
